Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Reece Gaines,1.1,0,0.3,0.1,0,0.5,0,0.25,0.004,4.5
Francisco García,5.6,2.8,1.4,0.6,0.7,0.4,0.285,0.772,0.06,19.4
Kevin Garnett,21.8,12.7,4.1,1.4,1.4,0.526,0.267,0.81,0.242,38.9
Pat Garrity,4.9,1.9,0.7,0.2,0.2,0.417,0.388,0.811,0.062,16.5
Pau Gasol,20.4,8.9,4.6,0.6,1.9,0.503,0.25,0.689,0.184,39.2
Devean George,6.3,3.9,1,0.9,0.5,0.4,0.313,0.674,0.082,21.7
Eddie Gill,1.1,0.4,0.3,0.3,0,0.222,0.304,0.783,0.02,3
Manu Ginóbili,15.1,3.5,3.6,1.6,0.4,0.462,0.382,0.778,0.234,27.9
Gordan Giriček,10.6,1.9,1.7,0.4,0.1,0.433,0.305,0.754,-0.01,25.8
Anthony Goldwire,0.7,0.3,0.7,0,0,0.143,0,,-0.245,7.3
Ryan Gomes,7.6,4.9,1,0.6,0.1,0.487,0.333,0.752,0.108,22.6
Drew Gooden,10.7,8.4,0.7,0.7,0.6,0.512,0.333,0.682,0.145,27.5
Ben Gordon,16.9,2.7,3,0.9,0.1,0.422,0.435,0.787,0.086,31
Joey Graham,6.7,3.1,0.8,0.5,0.2,0.478,0.333,0.812,0.038,19.8
Stephen Graham,2.6,1.2,0.3,0.2,0.1,0.389,0.2,0.933,0.009,8
Danny Granger,7.5,4.9,1.2,0.7,0.8,0.462,0.323,0.777,0.139,22.6
Brian Grant,2.9,2.7,0.3,0.2,0.1,0.415,,0.875,0.041,11.8
Devin Green,0.9,0.9,0.3,0.1,0,0.214,0,0.619,-0.018,5
Gerald Green,5.2,1.3,0.6,0.4,0.1,0.478,0.3,0.784,0.064,11.7
Willie Green,7,1.5,0.5,0.2,0,0.424,0.526,0.8,-0.038,15.3
Orien Greene,3.2,1.8,1.6,1,0.1,0.395,0.225,0.662,-0.013,15.4
Adrian Griffin,4.6,4.4,1.7,1,0.2,0.48,0,0.774,0.113,23.9
Eddie Griffin,4.6,5.6,0.6,0.2,2.1,0.351,0.195,0.595,0.055,19.4
Anthony Grundy,4.3,1.4,0.8,0.6,0,0.5,0.333,0.643,0.095,9
Richard Hamilton,20.1,3.2,3.4,0.7,0.2,0.491,0.458,0.845,0.13,35.3
Zendon Hamilton,2.2,0.9,0,0.3,0,0.5,,0.667,0.098,4.1
Anfernee Hardaway,2.5,2.5,2,0.5,0,0.286,0,1,-0.101,18
Matt Harpring,12.5,5.2,1.4,0.8,0.2,0.475,0.359,0.725,0.115,27.4
Al Harrington,18.6,6.9,3.1,1.1,0.2,0.452,0.346,0.694,0.065,36.6
Othella Harrington,4.8,2.1,0.5,0.1,0.2,0.495,,0.626,0.063,11.4
Devin Harris,9.9,2.2,3.2,0.9,0.3,0.469,0.238,0.716,0.139,22.8
David Harrison,5.7,3.8,0.2,0.3,0.9,0.503,,0.511,0.068,15.4
Jason Hart,3.3,1.1,1.1,0.5,0.1,0.389,0.29,0.661,0.006,12.4
Udonis Haslem,9.3,7.8,1.2,0.6,0.2,0.508,0,0.789,0.134,30.8
